,p.HS1,p.S1H,p.S1S2,p.HD,rr.S1,rr.S2,c.H,c.S1,c.S2,c.Trt,u.H,u.S1,u.S2,u.Trt,Cost_NoTrt,Cost_Trt,QALY_NoTrt,QALY_Trt,ICER
7447,0.122193522,0.460746549,0.105055944,0.005408127,2.959708347,9.93085841,1770.37632,3898.523277,15224.66547,11410.22665,0.998313108,0.731613102,0.521679731,0.968148755,68442.1794,124061.9082,16.04778455,16.64871129,92556.58786
7448,0.136956702,0.500770141,0.102130973,0.004339406,3.089024791,9.837092774,2047.825165,3858.298732,17190.58406,11087.24875,0.982822261,0.751055001,0.477751202,0.931232314,81652.99523,140347.4334,16.02674902,16.51246057,120842.1692
7449,0.131314276,0.541601971,0.10273615,0.002886373,3.024112314,10.07737477,2410.253927,4030.606435,16422.53239,11618.16461,0.994109552,0.791382063,0.511687836,0.921362436,88439.9142,150261.896,17.05998962,17.39521157,184421.0465
7450,0.167910668,0.512656904,0.095778309,0.005166992,2.992086935,9.928451892,1871.845884,3501.190887,15000.93607,12953.99696,0.970978748,0.726927081,0.459848809,0.90686404,72635.33259,146087.2997,15.17898024,15.72799707,133788.1881
7451,0.169896613,0.497485261,0.103610709,0.002853897,3.001765189,9.915248764,2114.640958,4073.999404,16241.37974,12683.1374,0.988727113,0.755002583,0.534233271,0.970659877,95106.41929,179398.2664,16.28993507,16.97378236,123261.2136
7452,0.130121921,0.512077798,0.092498604,0.006796165,3.011226966,10.06602677,1859.834791,3805.166638,16017.59612,12697.07746,0.995141339,0.729455793,0.494673657,0.962793804,63739.77775,119617.9201,15.73156225,16.32331441,94428.28565
7453,0.156249991,0.467243477,0.095269,0.006328144,2.961063594,10.18802002,2572.104997,3737.028496,15346.50682,12811.75686,0.981344421,0.720468865,0.485641027,0.940311676,77901.37709,146306.1495,15.01637614,15.67453651,103933.2895
7454,0.157612601,0.436812044,0.105731417,0.003385522,2.988573678,9.911006807,1886.752094,4324.523454,12573.30644,14479.99521,0.995798152,0.75868062,0.518494487,0.938927174,79039.20568,174166.0127,16.06227567,16.63261763,166789.0744
7455,0.168120802,0.533196859,0.114816034,0.005259275,2.989411193,9.636024943,1892.616882,3896.865034,15301.57923,11697.40885,0.99860121,0.745128482,0.501939001,0.9861575,78582.76931,146147.2489,15.43905395,16.1208842,99092.81534
7456,0.132391377,0.539447619,0.104025201,0.005225419,2.982952538,9.888488386,1743.738574,4042.878926,14812.15019,11218.99726,0.986694821,0.743269617,0.48500942,0.956670914,67059.55999,120712.1246,15.98465787,16.51554101,101062.8528
